,datetime,Tweet id,Username,Text
33,2022-06-29 14:00:26+00:00,1542145974419742720,UnitedAddictEs,El futbolista olvidado del United que el Fulham quiere fichar #MUFC #Manchester #CR7 | https://t.co/P0DUS2tWIM https://t.co/idh0tsE418
34,2022-06-29 13:30:18+00:00,1542138388492554242,UnitedAddictEs,El Manchester United ya baraja una alternativa a Frenkie de Jong #MUFC #Manchester #CR7 | https://t.co/P0DUS2tWIM https://t.co/xbCauTCkva
35,2022-06-29 13:11:14+00:00,1542133590347206659,dannysly_,"So Tinubu play for Villarreal 🤨 things de unveil 

#Burnaboy #Manchester United #TINUBU2023 #TECNOCamon19 https://t.co/A4voWW5Q7t"
36,2022-06-29 12:04:15+00:00,1542116736085987334,Vincent171819,"Starry Starry night Paint your palette blue and gray 🎶 🎼 🎵 ……..
It looks very nice but I don’t have any places to place. #lego #thestarrynight #MoMA #vincentvangogh #manchester #uk @ Manchester, United Kingdom https://t.co/B4cdRnbI7y"
37,2022-06-29 11:30:17+00:00,1542108188945825793,UnitedAddictEs,"Tyrell Malacia, el '3' que ha enfrentado a Manchester United y Olympique Lyon #MUFC #Manchester #CR7 | Marca https://t.co/foF8dwUwDH"
38,2022-06-29 10:35:26+00:00,1542094384723804161,VitioTv,"Amazing Erik Ten Hag First Day Training At Carrington As Manchester United Manager. https://t.co/WM0vQcJAii 

#mufc #MUFC_FAMILY #ManchesterUnited #manunited #manutd  #manchester"
39,2022-06-29 10:31:27+00:00,1542093380431319040,VitioTv,"Unseen Footage of Erik ten Hags first training session as Manchester United manager https://t.co/8JmKCKI1YX 

#mufc #MUFC_FAMILY #ManchesterUnited #manunited #manutd  #manchester #eriktenhags"
40,2022-06-29 10:30:18+00:00,1542093092421046275,UnitedAddictEs,La alternativa del United tras otro intento fallido por Frenkie de Jong #MUFC #Manchester #CR7 | https://t.co/P0DUS2tWIM https://t.co/Aki1DJdV4n
41,2022-06-29 10:27:07+00:00,1542092289861984256,VitioTv,"De Jong and Malacia ""Double Deal Agreed!"" | Manchester United Transfer News https://t.co/YXSXeU9qk3

#mufc #MUFC_FAMILY #ManchesterUnited #manunited #manutd  #manchester"
42,2022-06-29 10:25:19+00:00,1542091839846629378,Jobs4football,"Job Opportunity🚨

Association: Manchester United
Position: Football Development Coordinator

Visit our site to apply or Link 👇
https://t.co/YEK62ZABHu

#football ​#soccer #j4f #Recruiting #Jobs #Vacancy #footballjobs #hiring #recruitment #Manchester #MUFC #Development"
43,2022-06-29 10:10:00+00:00,1542087983590948864,newsoneplace,"(Caught Offside):#Newcastle made approach for #Manchester United midfielder : According to reports, Newcastle United made contact over a potential transfer move for Manchester United midfielder Scott McTominay earlier in the .. https://t.co/fYRQwS4Ubg"
44,2022-06-29 10:03:49+00:00,1542086427122491392,Rigo_ghana,"Can Manchester United win a top 4 slot next season ??
#ManchesterUnited #Manchester #manchesterunitedfans"
45,2022-06-29 09:24:51+00:00,1542076619614916608,7mIndonesia,"Koeman Konfirmasi Frenkie De Jong Mau Bertahan Di Barcelona, Bye-Bye Manchester United?

#De Jong   #Manchester United
https://t.co/JWkHv0QOwU https://t.co/7HfwzM1Wy9"
46,2022-06-29 09:21:46+00:00,1542075845237506050,newsoneplace,(The Independent):#Manchester #United closing on double Dutch swoop for Frenkie De Jong and Tyrell Malacia : Dutch pair Frenkie De Jong and Tyrell Malacia are both targets for the new regime at Old Trafford .. https://t.co/iUeVxnYXCO
47,2022-06-29 08:36:24+00:00,1542064429625475074,stianunited1,"https://t.co/QlnKSUbOo0

 #LIVE TRANSFER NEWS NOW  #MANCHESTER UNITED TYRELL MALACIA +DE JONG? https://t.co/R9y8jvqPtD"
48,2022-06-29 07:45:02+00:00,1542051499823562753,TheMancClock,"Weather for Manchester, Greater Manchester, United Kingdom today is Rain showers reaching a high of 20° and a low of 11°. There is a 69% chance of rain. #Manchester #Weather https://t.co/asbhouvhQd"
49,2022-06-29 06:00:49+00:00,1542025273411076097,365Scores,"Report: Breakthrough in talks between #Barcelona and #ManchesterUnited over the transfer of Frenkie #DeJong to the #RedDevils. 

#Manchester #United #ManUtd #MUFC #Barca #FCB #LosCules #TransferTalk #365Scores https://t.co/qJ9CGDlQpE"
50,2022-06-29 05:05:08+00:00,1542011260165931009,newsoneplace,"(Manchester Evening News):#Manchester United transfer news #LIVE Man Utd close in on Tyrell Malacia, Frenkie de Jong latest : Keep up to date with the latest Man United news, views and transfer updates. .. https://t.co/z70adJ9EGc"
51,2022-06-29 04:30:16+00:00,1542002485178540034,UnitedAddictEs,"Barça y United, más cerca: ahora hay que convencer a De Jong #MUFC #Manchester #CR7 | Marca https://t.co/teVnzMJ3fT"
52,2022-06-29 04:00:01+00:00,1541994872168534016,ransport,"Nun greift sein Berater sogar zu einem unwürdigen Mittel, 🤔⚽️
#ranfussball #ronaldo #united #manchester 
https://t.co/ojalsBCRIx"
53,2022-06-28 21:55:36+00:00,1541903164168863747,peuplelyonnais,Mercato🔁: ❄️c’est la Clim pour l’OL ! Malacia a choisi Manchester United et va y signer enorme échec pour l’olympique lyonnais ! #ol #lyon #football #malacia #united #manchester https://t.co/WsrxpHRKuR
54,2022-06-28 21:30:15+00:00,1541896787329523712,UnitedAddictEs,El Manchester United le quiere robar al Lyon el fichaje de Malacia #MUFC #Manchester #CR7 | https://t.co/P0DUS2tWIM https://t.co/yKaSUfZrUy
55,2022-06-28 20:47:35+00:00,1541886049076527105,newsoneplace,(Manchester Evening News):'Back and ready' - #Manchester #United players react to first Erik ten Hag training session : 28 players were chosen by Ten Hag to take part in his first training session at Man United .. https://t.co/t33pvA19IF
56,2022-06-28 20:31:29+00:00,1541881995512451076,newsoneplace,(Manchester Evening News):#Manchester #United fans share Erik ten Hag theory following David de Gea training pictures : De Gea was among the 28 players back at Carrington for Ten Hag's first training session in charge of Man .. https://t.co/M2BjhFnLun
